problemE,problemS,answer,used,chalid,recid,winid
"A group of 84 people attended the zoo field trip. For the trip to the zoo, 63 people rode the bus and the remaining people were in cars with 3 people in each car. On the return trip, the same cars carried 4 people each, and the remaining people rode the bus. How many people rode the bus on the return trip?","Un grupo de 84 personas asistió a la excursión al zoológico. Para el viaje al zoológico, 63 personas viajaron en autobús y el resto en autos con 3 personas en cada auto. En el viaje de regreso, los mismos autos transportaban a 4 personas cada uno, y el resto viajaba en autobús. ¿Cuántas personas viajaron en autobús en el viaje de regreso?",56,0,none,none,none
"Matthew draws points A, B, C, D and E on a piece of paper. The lengths of segments AB, BC, CD are 4 cm, 3 cm and 7 cm—not necessarily in that order. The lengths of segments DE, AD and AE are 14 cm, 23 cm and 19 cm, also not necessarily in that order. What is the length of segment AD?","Matthew dibuja los puntos A, B, C, D y E en una hoja de papel. Las longitudes de los segmentos AB, BC, CD son 4 cm, 3 cm y 7 cm, no necesariamente en ese orden. Las longitudes de los segmentos DE, AD y AE son 14 cm, 23 cm y 19 cm, y tampoco necesariamente en ese orden. ¿Cuál es la longitud del segmento AD?",14,0,none,none,none
"A shipment of 25 crates was delivered. In each crate there were 27 boxes, each containing 8 computers. Two computers were found to be defective when five boxes were opened. At this rate, what is the expected number of defective computers in the shipment?","Se entregó un envío de 25 cajas. En cada caja había 27 cajas, cada una con 8 computadoras. Al abrir cinco cajas se descubrieron dos ordenadores defectuosos. A este ritmo, ¿cuál es el número esperado de computadoras defectuosas en el envío?",270,0,none,none,none
"How many ordered triples (a, b, c) of positive integers satisfy ab + c = 12?","¿Cuántas tripletas ordenadas (a, b, c) de números enteros positivos satisfacen ab + c = 12?",7,0,none,none,none
"Aditya writes down some of his favorite numbers. Every number on his list is a prime number, and no two numbers on his list share any digits in common. What is the greatest possible number of terms in Aditya’s list?",Aditya escribe algunos de sus números favoritos. Cada número en su lista es un número primo y no hay dos números en su lista que compartan dígitos en común. ¿Cuál es el mayor número posible de términos en la lista de Aditya?,6,0,none,none,none
"In the exciting new game of Hyperfootball, two teams compete against each other for points. The only ways to score points are by getting a touchdown, a smackdown or a shutdown worth 6, 10 and 15 points, respectively. What is the greatest integer score that a team cannot have during a game of Hyperfootball?","En el nuevo y emocionante juego de Hyperfootball, dos equipos compiten entre sí por puntos. Las únicas formas de sumar puntos son consiguiendo un touchdown, un smackdown o una parada por valor de 6, 10 y 15 puntos, respectivamente. ¿Cuál es el mayor puntaje entero que no puede tener un equipo durante un partido de Hyperfootball?",29,0,none,none,none
How many positive integers less than or equal to 1000 can be written as the sum of an even number of distinct powers of 3?,¿Cuántos enteros positivos menores o iguales a 1000 se pueden escribir como la suma de un número par de potencias distintas de 3?,52,0,none,none,none
"Catalina has 20 bills in her wallet. They are \$1, \$2 and \$5 bills and their total value is \$50. If she has more \$5 bills than \$1 bills, how many \$1 bills does Catalina have?","Catalina tiene 20 billetes en su billetera. Son billetes de \$1, \$2 y \$5 y su valor total es de \$50. Si tiene más billetes de \$5 que de \$1, ¿Cuántos billetes de \$1 tiene Catalina?",2,0,none,none,none
"When the students go from school to camp, they do so in rows of three. Maty, Ana and Carolina observe that they are the seventh counting from the beginning and the fifth counting from the end. How many students go to camp?","Cuando los alumnos van de la escuela al campamento, lo hacen en filas de tres. Maty, Ana y Carolina observan que son las séptimas contando desde el principio y las quintas contando desde el final. ¿Cuántos alumnos van al campamento?",33,0,none,none,none
"30! represents the product of all natural numbers from 1 to 30. If this product is factored into prime factors, how many 5 will the factorization have?","30! representa el producto de todos los números naturales del 1 al 30. Si este producto se factoriza en factores primos, ¿Cuántos 5 tendrá la factorización?",7,0,none,none,none
The time in Bermuda is 4 hours ahead of the time in Los Angeles. A plane leaves Bermuda at 10:00 a.m. (local time) and arrives in Los Angeles at 1:00 p.m. (local time) on the same day. What was the flight time in hours?,La hora en las Islas Bermudas es 4 horas más adelante que la hora en Los Angeles. Un avión sale de las Bermudas a las 10:00 a.m. (tiempo local) y llega a Los Angeles a la 1:00 p.m. (tiempo local) del mismo día. ¿Cuál fue el tiempo del vuelo en horas?,7,0,none,none,none
"Observe the sequence: 1, 3, 7, 15, 31, 63,... Which number is next?","Observa la secuencia: 1, 3, 7, 15, 31, 63,... ¿Cuál número sigue? ",127,0,none,none,none
"I am a two-digit number. The sum of my digits is 8. If my digits are reversed, the number thus formed is me minus 18. Who am I?","Soy un número de dos dígitos. La suma de mis dígitos es 8. Si mis dígitos se invierten, el nímero así formado es yo menos 18. ¿Quién soy?",53,0,none,none,none
"Consider the following sequence: 1, 11, 111, 1111, ... What is the tens digit of the sum of the first 30 elements of this sequence?","Considere la siguiente sucesión: 1, 11, 111, 1111, ... ¿Cuál es el dígito de las decenas de la suma de los primeros 30 elementos de esta sucesión?",2,0,none,none,none
How many prime numbers between 10 and 99 are still prime numbers if the order of their digits is reversed?,¿Cuántos números primos entre 10 y 99 siguen siendo primos si se invierte el orden de sus dígitos?,11,0,none,none,none
The subtraction of the squares of two non-consecutive positive integers is 93. What is the larger of those two numbers?,La resta de los cuadrados de dos números enteros positivos no consecutivos es 93. ¿Cuál es el mayor de esos dos números?,17,0,none,none,none
"Pedro, Ana, Juan and Ines stand in a row and begin to count by three: Pedro says ""three"", Ana says ""six"", Juan says ""nine"", and Ines says ""twelve"". Then Pedro says ""fifteen"", Ana says ""eighteen"", and so they continue counting in the same order. Who says the number ""five hundred thirty-four""?","Pedro, Ana, Juan e Ines se ubican en una fila y comienzan a contar de tres en tres: Pedro dice ""tres"", Ana dice ""seis"", Juan dice ""nueve"", e Ines dice ""doce"". Luego Pedro dice ""quince"", Ana dice ""dieciocho"", y así siguen contando en el mismo orden. ¿Quién dice el número ""quinientos treinta y cuatro""?",Ana,0,none,none,none
"A group of men, some of them accompanied by their wives, spent \$1,000 on a hotel. Each man spent \$19 and each woman spent \$13. Determine how many men were not accompanied by their wives.","Un grupo de hombres, algunos de ellos acompañados por sus esposas, gastaron \$1,000 en un hotel. Cada hombre gastó \$19 y cada mujer gastó \$13. Determine cuantos hombres no estaban acompañados por sus esposas.",24,0,none,none,none
"How many right triangles, whose sides are integer lengths, have one leg of length 15?","¿Cuántos triángulos rectángulos, cuyos lados tienen longitudes enteras, tienen un cateto de longitud 15?",3,0,none,none,none
How many integers have the following property: Their greatest divisor other than themselves is 91?,¿Cuántos enteros tienen la siguiente propiedad: Su mayor divisor distinto de ellos mismos es 91?,5,0,none,none,none
You have a cube with 6 faces of different colors. In how many ways can the numbers 1 to 6 be placed if 1 and 6; 2 and 5; Should 3 and 4 always be on opposite faces?,Se tiene un cubo con las 6 caras de diferente color. ¿De cuántas maneras se pueden ubicar los números del 1 al 6 si 1 y 6; 2 y 5; 3 y 4 deben estar siempre en caras opuestas?,48,0,none,none,none
